Vol,date,php,java,python,ruby,perl,swift,go,jsp,servlet,javascript,typescript,actionscript,jquery,node,react,vue,aws,docker,mysql,postgresql,oracle,html,xml,json,css,apache,nginx,iis,git,subversion,cvs,linux,windows,ios,android,chrome,firefox,safari,twitter,facebook,mixi,google,yahoo,mail
1,2000/12/25,257,426,7,15,220,0,4,375,49,7,0,0,0,0,0,0,0,0,91,63,27,471,85,0,3,367,0,19,0,0,4,51,53,0,0,0,0,0,0,0,0,0,2,9
2,2001/4/25,111,170,0,100,51,0,10,236,24,11,0,0,0,0,0,0,0,0,146,83,24,147,38,0,0,93,0,2,0,0,1,16,14,1,0,0,0,0,0,0,0,3,5,0
3,2001/6/25,374,127,5,10,58,0,2,96,21,8,0,5,0,0,0,0,0,0,60,60,96,219,142,0,0,265,0,56,0,0,5,70,72,0,0,0,0,0,0,0,0,1,0,32
4,2001/8/25,126,488,4,3,19,0,1,192,54,6,0,0,0,0,0,0,0,0,74,92,42,126,209,0,0,87,0,1,0,0,218,38,51,0,0,0,0,0,0,0,0,0,2,15
5,2001/10/25,216,264,0,4,12,0,3,47,21,1,0,0,0,7,0,0,0,0,109,129,61,80,367,0,26,74,0,5,0,0,2,51,59,0,0,0,0,0,0,0,0,17,0,32
6,2001/12/25,216,304,0,3,121,0,2,410,109,8,0,0,0,3,0,0,0,0,54,74,66,306,163,0,1,186,0,36,0,0,0,52,53,0,0,0,0,0,0,0,0,0,1,6
7,2002/2/25,254,601,46,3,36,0,0,163,31,4,0,0,0,5,0,0,0,0,33,80,15,427,482,0,5,115,0,7,0,88,36,46,60,0,0,0,0,0,0,0,0,0,0,31
8,2002/4/25,179,456,0,3,135,0,5,106,112,7,0,3,0,11,0,0,0,0,26,241,23,184,263,0,1,269,0,6,0,0,0,48,87,0,0,0,0,0,0,0,0,1,0,11
9,2002/6/25,130,375,2,14,97,0,0,293,58,74,0,0,0,0,0,0,0,0,65,52,18,341,175,0,5,369,0,2,0,0,7,28,90,0,0,0,0,0,0,0,0,0,0,2
10,2002/8/25,236,271,3,7,45,0,4,120,34,9,0,13,0,15,0,0,0,0,5,12,4,223,340,0,1,137,0,1,0,0,30,19,58,0,0,0,0,0,0,0,0,25,0,20
11,2002/10/25,189,417,4,3,84,0,0,175,38,2,0,0,0,5,0,0,0,0,0,16,14,178,428,0,1,77,0,29,0,0,13,23,100,0,0,0,0,0,0,0,0,0,27,14
12,2002/12/25,161,472,1,3,21,0,7,112,78,6,0,0,0,6,0,0,0,0,28,77,13,179,253,0,4,358,0,262,0,0,15,56,142,0,0,0,0,0,0,0,0,8,5,4
13,2003/2/25,150,468,0,1,37,0,3,89,33,3,0,0,0,3,0,0,0,0,3,56,48,134,233,0,0,127,0,8,0,0,2,18,32,0,0,0,0,0,0,0,0,11,2,13
14,2003/4/25,80,381,12,2,22,0,0,275,90,5,0,0,0,1,0,0,0,0,230,76,17,162,243,0,1,223,0,10,0,0,13,20,74,0,0,0,0,0,0,0,0,1,7,14
15,2003/6/25,81,271,14,1,23,0,5,128,54,7,0,1,0,0,0,0,0,0,63,170,31,222,323,0,8,184,0,44,0,0,4,41,45,0,0,0,0,0,0,0,0,2,1,16
16,2003/8/25,136,287,3,7,131,0,3,161,59,5,0,0,0,2,0,0,0,0,348,105,23,188,240,0,7,177,0,8,0,0,2,34,44,0,0,0,0,0,0,0,0,4,7,24
17,2003/10/25,79,289,2,10,28,0,3,83,47,1,0,15,0,0,0,0,0,0,17,121,28,84,227,0,2,108,0,1,0,0,8,14,36,0,0,0,0,0,0,0,0,5,2,4
18,2003/12/25,482,446,6,6,23,0,7,258,119,9,0,1,0,2,0,0,0,0,126,66,6,272,303,0,2,128,0,2,0,0,14,31,37,0,0,0,0,0,0,0,0,0,9,42
19,2004/2/25,67,308,3,5,98,0,2,49,6,7,0,0,0,0,0,0,0,0,99,137,140,89,333,0,0,49,0,14,0,0,3,25,101,0,0,0,0,0,0,0,0,0,0,3
20,2004/4/25,65,323,5,6,14,0,8,229,44,7,0,12,0,6,0,0,0,0,222,46,23,209,124,0,0,213,0,11,0,0,4,95,67,0,0,0,0,0,0,0,0,11,17,36
21,2004/6/25,117,216,1,3,18,0,2,85,4,19,0,0,0,0,0,0,0,0,21,70,13,89,147,0,2,48,0,1,0,1,39,24,39,0,0,0,0,0,0,0,0,0,5,27
22,2004/8/25,223,303,0,3,11,0,1,66,8,25,0,0,0,0,0,2,0,0,269,48,11,122,162,0,0,31,0,1,0,0,8,19,24,0,0,0,2,0,0,0,0,2,0,8
23,2004/10/25,41,247,3,4,50,0,0,6,0,5,0,0,0,1,0,0,0,0,72,63,31,176,89,0,1,53,0,1,0,0,1,49,57,0,0,0,5,0,0,0,0,31,1,30
24,2004/12/25,54,405,7,8,25,0,3,62,18,6,0,0,0,1,0,0,0,0,11,204,3,93,199,0,6,178,0,5,0,42,7,117,119,0,0,0,4,0,0,0,0,47,0,10
25,2005/2/25,59,354,2,1,126,0,4,66,5,22,0,0,0,0,0,0,0,0,256,187,13,185,77,0,0,43,0,1,0,0,6,24,79,0,0,0,2,0,0,0,0,4,4,18
26,2005/4/25,181,337,4,4,35,0,3,152,75,6,0,0,0,5,0,0,0,0,32,234,19,105,241,0,3,63,0,4,0,3,15,29,95,0,0,0,2,0,0,0,1,0,1,2
27,2005/6/25,171,191,2,10,10,0,1,86,6,170,0,1,0,11,0,0,0,0,9,30,22,213,134,28,48,25,0,0,0,0,1,25,28,0,0,2,31,6,0,0,6,47,9,5
28,2005/8/25,39,203,7,120,8,0,8,3,1,9,0,1,0,2,0,0,0,0,29,43,179,65,80,0,6,47,0,0,0,73,24,19,38,0,0,0,3,1,0,0,0,4,7,2
29,2005/10/25,219,373,0,6,12,0,1,19,12,16,0,40,0,1,0,0,0,0,60,52,8,67,125,0,1,59,0,12,0,0,0,10,33,0,0,0,0,0,0,0,0,0,0,2
30,2005/12/25,268,236,5,38,24,0,3,8,3,48,0,0,0,0,0,0,0,0,91,174,27,93,97,4,2,47,0,3,0,2,2,35,35,0,0,0,1,1,0,0,0,13,0,75
31,2006/2/25,86,206,2,28,57,0,2,55,18,234,0,0,0,5,0,0,0,0,8,45,20,215,123,44,5,72,0,0,0,7,6,23,50,0,0,0,7,0,0,0,22,8,0,21
32,2006/4/25,151,96,12,101,52,0,1,28,21,38,0,11,0,0,0,0,1,0,156,84,10,104,151,4,7,58,0,1,0,114,35,21,38,0,0,0,1,0,0,0,42,66,151,25
33,2006/6/25,185,107,5,39,186,0,3,11,0,46,0,2,0,0,0,0,0,0,133,18,22,93,59,8,11,113,0,3,0,10,12,47,19,0,0,0,5,0,0,0,1,8,4,2
34,2006/8/25,89,166,18,96,76,0,1,6,10,67,0,6,0,6,0,0,0,0,26,62,4,96,51,8,10,48,0,1,0,1,1,18,25,0,0,0,9,1,0,0,0,46,4,5
35,2006/10/25,109,351,2,57,32,0,7,16,28,119,0,0,2,1,0,0,0,0,46,198,20,161,149,20,2,70,0,0,0,4,0,32,45,0,0,0,18,12,0,0,0,11,3,3
36,2006/12/25,157,268,8,99,43,0,11,7,0,82,0,69,1,0,0,0,0,0,48,33,2,288,77,0,34,8,0,0,0,21,8,11,52,0,0,1,38,7,0,0,0,35,96,65
37,2007/2/25,297,223,2,31,44,0,6,10,15,25,0,40,1,5,0,0,0,0,71,37,3,140,190,5,12,49,0,4,0,10,2,34,58,0,0,0,5,2,0,0,2,5,6,2
38,2007/4/25,50,88,2,209,36,0,0,15,8,57,0,1,0,0,0,0,0,0,23,8,9,172,65,9,33,47,0,0,0,1,0,33,39,0,0,0,0,2,0,0,5,16,9,0
39,2007/6/25,183,67,3,78,80,0,0,4,13,98,0,1,1,2,0,0,1,0,43,32,2,164,109,22,271,20,0,0,0,115,4,22,33,0,0,33,47,2,6,0,2,6,20,4
40,2007/8/25,145,193,9,188,66,0,1,8,9,91,0,2,0,0,0,0,0,0,67,46,26,57,28,2,7,19,0,0,0,5,0,97,118,0,0,0,0,0,3,0,4,34,3,17
